,brand,name,modelNo,price,finalPrice,url,Box,Papers,Year,Product Code,Case Size,Case Material,Movement,Bracelet,Dial Type,Water Resistance,Description,Gender,Case Shape,details,Currency,bandColor,condition,estimatedRetailPrice,images,model,fetchDate
0,Rolex,Datejust 41,126334,,"11,350",https://www.watchfinder.co.uk/Rolex/Datejust%2041/126334/38956/item/247719,Yes,Yes,2021,247719,41 MM,Steel & White Gold,Automatic,Steel (Oyster),Slate Roman Numeral,100 metres,"In 2016 the Datejust 41 replaced the almost identical Datejust II, which itself was an updated and larger version of the original 36mm Datejust, one of Rolex’s most loved models and produced without interruption since its launch in 1945. With its fluted bezel and cyclops magnifier above the date aperture at 3 o'clock, it’s a timeless classic. This stunning ‘Wimbledon’ version is so-called due to the slate-grey dial with black Roman numerals outlined in the vibrant green of a tennis lawn. The 41mm case is steel and white gold and It comes on a classic steel Oyster bracelet. Water resistant to 100 metres, it’s driven by a Caliber 3235 which holds a power reserve of 70 hours. This is one of the most attractive dials found in any Datejust model and is popular among the Rolex cognoscenti.",,,,£,Steel,RefurbishedCondition,"£8,650","https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/10/06/promo_syw-md.jpg;quality=90;h=450, https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/10/06/promo_syw-md.jpg;quality=55;h=900 2x",Datejust 41,16/05/2023
1,Panerai,Luminor Marina,PAM01313,,"5,840",https://www.watchfinder.co.uk/Panerai/Luminor%20Marina/PAM01313/55291/item/247247,Yes,Yes,2021,247247,44 MM,Steel,Automatic,Rubber - Blue,Blue Quarter Arabic,300 metres,"This Panerai has undergone a thorough inspection of accuracy, functionality and condition at our Panerai certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.",,,,£,Blue,RefurbishedCondition,"£7,600","https://images.watchfinder.co.uk/imgv3/stock/247247/Panerai-LuminorMarina-PAM01313-247247-230511-105804.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv3/stock/247247/Panerai-LuminorMarina-PAM01313-247247-230511-105804.jpg;quality=55;h=160 2x",Luminor Marina,16/05/2023
2,Panerai,Luminor Marina,PAM00392,,"5,180",https://www.watchfinder.co.uk/Panerai/Luminor%20Marina/PAM00392/23833/item/246632,Yes,Yes,2013,246632,42 MM,Steel,Automatic,Rubber - Black,Black Baton,100 metres,"This Panerai has undergone a thorough inspection of accuracy, functionality and condition at our Panerai certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.",,,,£,Black,RefurbishedCondition,,"https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/10/06/promo_syw-md.jpg;quality=90;h=450, https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/10/06/promo_syw-md.jpg;quality=55;h=900 2x",Luminor Marina,16/05/2023
3,Jaeger-LeCoultre,Polaris,9068180,,"9,460",https://www.watchfinder.co.uk/Jaeger-LeCoultre/Polaris/9068180/50433/item/246759,Yes,Yes,2021,246759,42 MM,Steel,Automatic,Steel,Blue Quarter Arabic,300 metres,"This Jaeger-LeCoultre has undergone a thorough inspection of accuracy, functionality and condition at our Jaeger-LeCoultre certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.",,,,£,Steel,RefurbishedCondition,"£10,800","https://images.watchfinder.co.uk/imgv3/stock/246759/Jaeger-LeCoultre-Polaris-9068180-246759-230504-140438.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv3/stock/246759/Jaeger-LeCoultre-Polaris-9068180-246759-230504-140438.jpg;quality=55;h=160 2x",Polaris,16/05/2023
4,Tag Heuer,Monaco,CBL2118.FC6518,,"9,165",https://www.watchfinder.co.uk/Tag%20Heuer/Monaco/CBL2118.FC6518/56248/item/246515,Yes,Yes,2022,246515,39 MM,Steel,Automatic,Alligator - Black,Purple Baton,100 metres,"This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.",,,,£,Black,RefurbishedCondition,"£6,800","https://images.watchfinder.co.uk/imgv3/stock/246515/TagHeuer-Monaco-CBL2118.FC6518-246515-230509-112426.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv3/stock/246515/TagHeuer-Monaco-CBL2118.FC6518-246515-230509-112426.jpg;quality=55;h=160 2x",Monaco,16/05/2023
5,Grand Seiko,Heritage Collection,SLGA007,,"9,165",https://www.watchfinder.co.uk/Grand%20Seiko/Heritage%20Collection/SLGA007/54082/item/245639,Yes,Yes,2021,245639,40 MM,Steel,Automatic,Steel,Blue Baton,100 metres,"This Grand Seiko has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.",,,,£,Steel,RefurbishedCondition,"£8,200","https://images.watchfinder.co.uk/imgv3/stock/245639/GrandSeiko-HeritageCollection-SLGA007-245639-230427-103734.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv3/stock/245639/GrandSeiko-HeritageCollection-SLGA007-245639-230427-103734.jpg;quality=55;h=160 2x",Heritage Collection,16/05/2023
6,H. Moser and Cie,Endeavour,321.503-015,,"16,165",https://www.watchfinder.co.uk/H.%20Moser%20and%20Cie/Endeavour/321.503-015/48116/item/245261,Yes,Yes,2013,245261,38.8 MM,Rose Gold,Manual,Leather - Brown,Brown Baton,30 metres,"This H. Moser and Cie has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.",,,,£,Brown,RefurbishedCondition,,"https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/10/06/promo_syw-md.jpg;quality=90;h=450, https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/10/06/promo_syw-md.jpg;quality=55;h=900 2x",Endeavour,16/05/2023
7,Girard Perregaux,Laureato,81000-11-131-11A,,"13,695",https://www.watchfinder.co.uk/Girard%20Perregaux/Laureato/81000-11-131-11A/34217/item/245257,Yes,Yes,2021,245257,41 MM,Steel,Automatic,Steel,Silver Baton,30 metres,"This Girard Perregaux has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.",,,,£,Steel,RefurbishedCondition,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",Laureato,16/05/2023
8,IWC,Pilot’s Chrono,IW370603,,"4,375",https://www.watchfinder.co.uk/IWC/Pilot%E2%80%99s%20Chrono/IW370603/35666/item/245082,Yes,Yes,2004,245082,39 MM,Steel,Automatic,Steel,Black Arabic,50 metres,"This IWC has undergone a thorough inspection of accuracy, functionality and condition at our IWC certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.",,,,£,Steel,RefurbishedCondition,,"https://images.watchfinder.co.uk/imgv2/stock/235464/IWC-PilotsChrono-IW370603-235464-2-221213-120135.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv2/stock/235464/IWC-PilotsChrono-IW370603-235464-2-221213-120135.jpg;quality=55;h=160 2x",Pilot’s Chrono,16/05/2023
9,Jaeger-LeCoultre,Reverso Squadra Lady,7068721,,"4,160",https://www.watchfinder.co.uk/Jaeger-LeCoultre/Reverso%20Squadra%20Lady/7068721/50834/item/245079,Yes,No,Approx. 2016,245079,31 MM,Steel set with Diamonds,Quartz,Rubber - White,Silver Arabic,50 metres,"This Jaeger-LeCoultre has undergone a thorough inspection of accuracy, functionality and condition at our Jaeger-LeCoultre certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.",,,,£,White,RefurbishedCondition,,"https://images.watchfinder.co.uk/imgv2/stock/222876/Jaeger-LeCoultre-ReversoSquadraLady-7068721-222876-1-220816-144642.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv2/stock/222876/Jaeger-LeCoultre-ReversoSquadraLady-7068721-222876-1-220816-144642.jpg;quality=55;h=160 2x",Reverso Squadra Lady,16/05/2023
